feature,importance
age,4.152390819057682
age_group,3.1739856316925894
balance_clipped,4.083415782741436
campaign_clipped,4.06266742188081
default,0.5128493073862821
housing,4.660428127324576
loan,2.1360794114692028
job,5.516940985382283
marital,4.04824716247074
education,3.286992749435715
contact,11.67537619976247
month,17.01677080970786
poutcome,6.912773166940863
pdays_group,1.5306512419043434
previous_group,1.6383135078973305
balance,6.408054028308754
day,13.165286712723296
campaign,3.0598837496902926
pdays,2.5637071294262515
previous,0.39518605479728314
