iter	Passed	Remaining
400	37125	9165
401	37197	9068
402	37278	8972
403	37353	8876
404	37424	8778
405	37490	8680
406	37560	8582
407	37646	8488
408	37742	8397
409	37827	8303
410	37907	8208
411	37981	8112
412	38065	8018
413	38156	7926
414	38249	7834
415	38337	7741
416	38415	7646
417	38497	7552
418	38584	7459
419	38662	7364
420	38750	7271
421	38831	7177
422	38905	7082
423	38992	6989
424	39077	6895
425	39158	6802
426	39245	6709
427	39329	6616
428	39412	6522
429	39502	6430
430	39581	6336
431	39665	6243
432	39749	6150
433	39847	6059
434	39943	5968
435	40037	5877
436	40117	5783
437	40198	5690
438	40277	5596
439	40378	5506
440	40471	5414
441	40555	5321
442	40646	5229
443	40730	5137
444	40813	5044
445	40901	4952
446	40988	4859
447	41062	4766
448	41135	4672
449	41210	4578
450	41300	4487
451	41389	4395
452	41477	4303
453	41583	4213
454	41680	4122
455	41769	4030
456	41854	3938
457	41932	3845
458	42004	3752
459	42085	3659
460	42157	3566
461	42241	3474
462	42341	3383
463	42425	3291
464	42504	3199
465	42582	3106
466	42674	3015
467	42731	2921
468	42808	2829
469	42905	2738
470	42994	2647
471	43099	2556
472	43188	2465
473	43272	2373
474	43367	2282
475	43463	2191
476	43558	2100
477	43642	2008
478	43732	1917
479	43813	1825
480	43910	1734
481	43998	1643
482	44086	1551
483	44179	1460
484	44268	1369
485	44360	1277
486	44449	1186
487	44531	1095
488	44623	1003
489	44724	912
490	44859	822
491	44952	730
492	45052	639
493	45140	548
494	45222	456
495	45304	365
496	45399	274
497	45483	182
498	45574	91
499	45658	0
