iter	Logloss
213	0.298807192
214	0.2986867886
215	0.2982985521
216	0.2981973921
217	0.2980087491
218	0.2977544704
219	0.2976550664
220	0.2972046764
221	0.2970808341
222	0.2970682009
223	0.2969401341
224	0.2968429321
225	0.2967257439
226	0.2963933694
227	0.2961200768
228	0.2961195955
229	0.2961195719
230	0.2959753025
231	0.2957738583
232	0.2957728598
233	0.295425099
234	0.2949090659
235	0.2946613355
236	0.2943180213
237	0.2940391663
238	0.2937536399
239	0.2935324279
240	0.2934070368
241	0.293115199
242	0.2931137996
243	0.2929493276
244	0.2926252399
245	0.2920766357
246	0.2917624335
247	0.2917609376
248	0.2916071487
249	0.2914590084
250	0.2912912779
251	0.291240804
252	0.2912392892
253	0.2910037166
254	0.2910023164
255	0.2907872212
256	0.2903683494
257	0.2902040735
258	0.2900084319
259	0.2898753197
260	0.2898719331
261	0.2897657347
262	0.2894180899
263	0.2894151035
264	0.2889879775
265	0.2889854947
266	0.288982677
267	0.2886396711
268	0.2884142986
269	0.2884070895
270	0.2884039091
271	0.2882288257
272	0.2881239797
273	0.2881185052
274	0.2878991233
275	0.2877691023
276	0.2877129578
277	0.2875296759
278	0.2875260104
279	0.2875228544
280	0.2875193965
281	0.2875148264
282	0.2874117144
283	0.2873328069
284	0.2871868295
285	0.2871713492
286	0.2870589234
287	0.2869248919
288	0.2865005106
289	0.2862968321
290	0.286169766
291	0.28609595
292	0.2860931695
293	0.2858691741
294	0.2857137618
295	0.2855253421
296	0.2854424343
297	0.2852474615
298	0.2852342089
299	0.2852318101
300	0.2851362121
301	0.2849424863
302	0.2849391375
303	0.2846718304
304	0.2846717789
305	0.284213955
306	0.2842089909
307	0.284081912
308	0.2840812747
309	0.2839353949
310	0.2836871512
311	0.2836048955
312	0.2836028798
313	0.2834305923
314	0.2833069355
315	0.2829326907
316	0.2828614724
317	0.2827956653
318	0.2826852451
319	0.2826833609
320	0.2826825695
321	0.2825088764
322	0.2824298597
323	0.2824287341
324	0.2824279928
325	0.2821358563
326	0.2820147373
327	0.2818150937
328	0.28181446
329	0.2815547901
330	0.2815540895
331	0.2815503005
332	0.2813795495
333	0.2813267758
334	0.280974288
335	0.2808385662
336	0.2807366916
337	0.2807330033
338	0.2807288247
339	0.2807210318
340	0.280719565
341	0.2806953446
342	0.2803774161
343	0.2801664335
344	0.2798524247
345	0.2795549182
346	0.2795384525
347	0.2794904826
348	0.2794015692
349	0.2792945704
350	0.2792661664
351	0.279139041
352	0.279002703
353	0.2789875027
354	0.278984922
355	0.2789832902
356	0.2788418776
357	0.2787653935
358	0.2784869298
359	0.2784829401
360	0.2784244163
361	0.2783479235
362	0.2782395363
363	0.2781442445
364	0.2781093735
365	0.2781078432
366	0.2781041041
367	0.2779383674
368	0.2779097766
369	0.2778251948
370	0.2777548771
371	0.2775922357
372	0.2775316783
373	0.2774609968
374	0.2772004096
375	0.2771399242
376	0.2770305694
377	0.2769159414
378	0.2767844325
379	0.2767068146
380	0.2766828132
381	0.2764083022
382	0.276280216
383	0.2762249957
384	0.2761775186
385	0.2760356952
386	0.2759863141
387	0.2757772085
388	0.2757640051
389	0.2756407285
390	0.2755753967
391	0.2755121425
392	0.275426366
393	0.2752997641
394	0.2751005176
395	0.2750605819
396	0.2750591755
397	0.2750347631
398	0.2750329723
399	0.2748642042
400	0.2745687165
401	0.2744875806
402	0.2743356048
403	0.2742167058
404	0.2741207586
405	0.2739647339
406	0.2738711058
407	0.2736155427
408	0.2734756867
409	0.2733684273
410	0.2732872532
411	0.2731435167
412	0.2730983259
413	0.2730381643
414	0.2729382355
415	0.2728173032
416	0.2727347518
417	0.2727241411
418	0.2725090494
419	0.2724659832
420	0.2722558995
421	0.272133087
422	0.2721318238
423	0.2720637265
424	0.2719430172
425	0.2718952186
426	0.2718250612
427	0.2717635095
428	0.2716256015
429	0.2713789934
430	0.2712617425
431	0.2712475256
432	0.2712124401
433	0.2711353482
434	0.2711247451
435	0.2711236512
436	0.2709425733
437	0.2709415348
438	0.270654696
439	0.2705616742
440	0.2704179238
441	0.2703196398
442	0.2701037106
443	0.2701029789
444	0.2700848719
445	0.2700491308
446	0.269978061
447	0.2699085768
448	0.2698000163
449	0.2696317722
450	0.2694254044
451	0.2692947337
452	0.2692108598
453	0.2690588117
454	0.2688278345
455	0.2687233901
456	0.2686654347
457	0.2685296875
458	0.2685202012
459	0.2684292765
460	0.2683908162
461	0.268347679
462	0.2683146201
463	0.2681738092
464	0.2681155782
465	0.2680214984
466	0.2680209394
467	0.2680202564
468	0.2678836156
469	0.2678482639
470	0.2676552726
471	0.2674959526
472	0.2673002279
473	0.2672394726
474	0.2671267519
475	0.2668735205
476	0.2667991665
477	0.2667133345
478	0.2666541427
479	0.2666382814
480	0.2665073442
481	0.2664381267
482	0.2662809352
483	0.2662786857
484	0.2662179746
485	0.266151416
486	0.2661459925
487	0.265953607
488	0.2658334487
489	0.2656044648
490	0.2655715889
491	0.2655362924
492	0.2655038831
493	0.2654948899
494	0.2653684469
495	0.2653585996
496	0.2653066958
497	0.2652091535
498	0.2651019372
499	0.265052452
